"","v_congruent ","v_incongruent ","a_congruent ","a_incongruent ","t_congruent ","t_incongruent ","z ","flanker_score_rdoc ","accuracy_incongruent ","rt_interference ","accuracy ","accuracy_congruent_log ","FCz_ERN_080 ","FCz_ERN_080_diff ","Inhib_time_rev ","exec_composite ","Pred_FSIQ ","Motor_time "
"v_congruent","","","","","","","","","","","","","","","","","",""
"v_incongruent"," 0.513***","","","","","","","","","","","","","","","","",""
"a_congruent"," 0.171***"," 0.380***","","","","","","","","","","","","","","","",""
"a_incongruent","-0.428***"," 0.174***"," 0.559***","","","","","","","","","","","","","","",""
"t_congruent"," 0.090   "," 0.112*  ","-0.253***","-0.069   ","","","","","","","","","","","","","",""
"t_incongruent"," 0.166** "," 0.426***"," 0.510***"," 0.181***"," 0.350***","","","","","","","","","","","","",""
"z","-0.452***","-0.595***","-0.493***","-0.299***"," 0.246***","-0.317***","","","","","","","","","","","",""
"flanker_score_rdoc"," 0.397***"," 0.557***"," 0.060   ","-0.158** "," 0.053   "," 0.023   ","-0.153** ","","","","","","","","","","",""
"accuracy_incongruent","-0.152** "," 0.627***"," 0.395***"," 0.615***"," 0.211***"," 0.316***","-0.096   "," 0.424***","","","","","","","","","",""
"rt_interference"," 0.219***"," 0.175***"," 0.382***"," 0.372***","-0.135** "," 0.381***","-0.465***","-0.127*  "," 0.091   ","","","","","","","","",""
"accuracy"," 0.049   "," 0.705***"," 0.527***"," 0.555***"," 0.169***"," 0.405***","-0.209***"," 0.503***"," 0.953***"," 0.195***","","","","","","","",""
"accuracy_congruent_log"," 0.638***"," 0.505***"," 0.583***"," 0.032   ","-0.042   "," 0.412***","-0.426***"," 0.410***"," 0.211***"," 0.384***"," 0.482***","","","","","","",""
"FCz_ERN_080"," 0.194***"," 0.168** ","-0.019   ","-0.128*  "," 0.041   ","-0.002   ","-0.018   "," 0.132** "," 0.054   ","-0.030   "," 0.098   "," 0.147** ","","","","","",""
"FCz_ERN_080_diff","-0.282***","-0.190***"," 0.067   "," 0.229***","-0.042   ","-0.002   "," 0.041   ","-0.179***"," 0.000   "," 0.029   ","-0.057   ","-0.180***","-0.930***","","","","",""
"Inhib_time_rev"," 0.253***"," 0.136** ","-0.128*  ","-0.277***"," 0.021   ","-0.010   ","-0.022   "," 0.165** ","-0.070   ","-0.005   ","-0.032   "," 0.115*  "," 0.086   ","-0.153** ","","","",""
"exec_composite"," 0.303***"," 0.153** ","-0.134*  ","-0.337***"," 0.025   "," 0.007   ","-0.073   "," 0.166** ","-0.133*  ","-0.068   ","-0.088   "," 0.139** "," 0.061   ","-0.139** "," 0.558***","","",""
"Pred_FSIQ"," 0.186***"," 0.228***"," 0.067   ","-0.066   ","-0.012   "," 0.081   ","-0.104*  "," 0.231***"," 0.117*  "," 0.041   "," 0.136** "," 0.126*  "," 0.032   ","-0.099   "," 0.266***"," 0.359***","",""
"Motor_time","-0.211***","-0.210***"," 0.035   "," 0.086   ","-0.042   ","-0.006   "," 0.100   ","-0.223***","-0.081   ","-0.032   ","-0.103*  ","-0.115*  ","-0.021   "," 0.080   ","-0.185***","-0.315***","-0.165** ",""
