"","v_congruent_d1_z ","v_incongruent_d1_z ","a_congruent_d1_z ","a_incongruent_d1_z ","t_congruent_d1_z ","t_incongruent_d1_z ","z_d1_z ","flanker_score_d1_z ","accuracy_d1_z ","accuracy_congruent_log_d1_z ","accuracy_incongruent_d1_z ","rt_interference_d1_z ","FCZ_ERN_080_d1_z ","v_congruent_d2_z ","v_incongruent_d2_z ","a_congruent_d2_z ","a_incongruent_d2_z ","t_congruent_d2_z ","t_incongruent_d2_z ","z_d2_z ","flanker_score_d2_z ","accuracy_d2_z ","accuracy_congruent_log_d2_z ","accuracy_incongruent_d2_z ","rt_interference_d2_z ","FCZ_ERN_080_d2_z ","v_congruent_d3_z ","v_incongruent_d3_z ","a_congruent_d3_z ","a_incongruent_d3_z ","t_congruent_d3_z ","t_incongruent_d3_z ","z_d3_z ","flanker_score_d3_z ","accuracy_d3_z ","accuracy_congruent_log_d3_z ","accuracy_incongruent_d3_z ","rt_interference_d3_z ","FCZ_ERN_080_d3_z "
"v_congruent_d1_z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"v_incongruent_d1_z"," 0.471***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a_congruent_d1_z"," 0.151   "," 0.147   ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a_incongruent_d1_z","-0.301** "," 0.181   "," 0.592***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"t_congruent_d1_z"," 0.091   "," 0.239*  ","-0.085   "," 0.172   ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"t_incongruent_d1_z","-0.439***","-0.549***","-0.370***","-0.329** "," 0.151   ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"z_d1_z","-0.439***","-0.549***","-0.370***","-0.329** "," 0.151   "," 1.000***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"flanker_score_d1_z"," 0.323** "," 0.622***","-0.071   ","-0.102   ","-0.017   ","-0.238*  ","-0.238*  ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"accuracy_d1_z"," 0.152   "," 0.706***"," 0.534***"," 0.665***"," 0.337** ","-0.345** ","-0.345** "," 0.413***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"accuracy_congruent_log_d1_z"," 0.651***"," 0.326** "," 0.657***"," 0.231*  ","-0.003   ","-0.532***","-0.532***"," 0.118   "," 0.494***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"accuracy_incongruent_d1_z","-0.107   "," 0.673***"," 0.279*  "," 0.634***"," 0.383***","-0.148   ","-0.148   "," 0.452***"," 0.910***"," 0.112   ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rt_interference_d1_z"," 0.300** "," 0.039   "," 0.398***"," 0.328** ","-0.154   ","-0.478***","-0.478***","-0.038   "," 0.246*  "," 0.578***"," 0.016   ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FCZ_ERN_080_d1_z"," 0.350** "," 0.225*  ","-0.113   ","-0.042   "," 0.107   ","-0.009   ","-0.009   "," 0.378***"," 0.213   "," 0.161   "," 0.198   "," 0.033   ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"v_congruent_d2_z"," 0.646***"," 0.294*  "," 0.038   ","-0.223   ","-0.129   ","-0.335** ","-0.335** "," 0.331** "," 0.046   "," 0.431***","-0.122   "," 0.375***"," 0.364** ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"v_incongruent_d2_z"," 0.294** "," 0.502***"," 0.083   "," 0.120   "," 0.227*  ","-0.183   ","-0.183   "," 0.419***"," 0.435***"," 0.250*  "," 0.387***"," 0.148   "," 0.272*  "," 0.586***","","","","","","","","","","","","","","","","","","","","","","","","",""
"a_congruent_d2_z"," 0.047   "," 0.086   "," 0.624***"," 0.584***"," 0.080   ","-0.338** ","-0.338** ","-0.019   "," 0.412***"," 0.489***"," 0.257*  "," 0.478***"," 0.049   "," 0.246*  "," 0.377***","","","","","","","","","","","","","","","","","","","","","","","",""
"a_incongruent_d2_z","-0.232*  "," 0.207   "," 0.508***"," 0.828***"," 0.324** ","-0.246*  ","-0.246*  ","-0.062   "," 0.604***"," 0.213   "," 0.580***"," 0.318** ","-0.155   ","-0.239*  "," 0.201   "," 0.644***","","","","","","","","","","","","","","","","","","","","","","",""
"t_congruent_d2_z"," 0.010   "," 0.359** "," 0.146   "," 0.256*  "," 0.446***"," 0.016   "," 0.016   "," 0.047   "," 0.418***"," 0.038   "," 0.429***","-0.056   ","-0.042   ","-0.010   "," 0.245*  "," 0.029   "," 0.368** ","","","","","","","","","","","","","","","","","","","","","",""
"t_incongruent_d2_z"," 0.010   "," 0.183   "," 0.523***"," 0.453***"," 0.261*  ","-0.183   ","-0.183   ","-0.046   "," 0.435***"," 0.354** "," 0.321** "," 0.317** ","-0.091   "," 0.052   "," 0.397***"," 0.611***"," 0.470***"," 0.506***","","","","","","","","","","","","","","","","","","","","",""
"z_d2_z","-0.232*  ","-0.107   ","-0.241*  ","-0.100   "," 0.194   "," 0.456***"," 0.456***","-0.169   ","-0.080   ","-0.377***"," 0.081   ","-0.459***","-0.001   ","-0.572***","-0.505***","-0.500***","-0.179   "," 0.220   ","-0.276*  ","","","","","","","","","","","","","","","","","","","",""
