"","v_congruent_d1_z ","v_incongruent_d1_z ","a_congruent_d1_z ","a_incongruent_d1_z ","t_congruent_d1_z ","t_incongruent_d1_z ","z_d1_z ","flanker_score_d1_z ","accuracy_d1_z ","accuracy_congruent_log_d1_z ","accuracy_incongruent_d1_z ","rt_interference_d1_z ","FCZ_ERN_080_d1_z "
"v_congruent_d1_z","","","","","","","","","","","","",""
"v_incongruent_d1_z"," 0.471***","","","","","","","","","","","",""
"a_congruent_d1_z"," 0.151   "," 0.147   ","","","","","","","","","","",""
"a_incongruent_d1_z","-0.301** "," 0.181   "," 0.592***","","","","","","","","","",""
"t_congruent_d1_z"," 0.091   "," 0.239*  ","-0.085   "," 0.172   ","","","","","","","","",""
"t_incongruent_d1_z","-0.439***","-0.549***","-0.370***","-0.329** "," 0.151   ","","","","","","","",""
"z_d1_z","-0.439***","-0.549***","-0.370***","-0.329** "," 0.151   "," 1.000***","","","","","","",""
"flanker_score_d1_z"," 0.323** "," 0.622***","-0.071   ","-0.102   ","-0.017   ","-0.238*  ","-0.238*  ","","","","","",""
"accuracy_d1_z"," 0.152   "," 0.706***"," 0.534***"," 0.665***"," 0.337** ","-0.345** ","-0.345** "," 0.413***","","","","",""
"accuracy_congruent_log_d1_z"," 0.651***"," 0.326** "," 0.657***"," 0.231*  ","-0.003   ","-0.532***","-0.532***"," 0.118   "," 0.494***","","","",""
"accuracy_incongruent_d1_z","-0.107   "," 0.673***"," 0.279*  "," 0.634***"," 0.383***","-0.148   ","-0.148   "," 0.452***"," 0.910***"," 0.112   ","","",""
"rt_interference_d1_z"," 0.300** "," 0.039   "," 0.398***"," 0.328** ","-0.154   ","-0.478***","-0.478***","-0.038   "," 0.246*  "," 0.578***"," 0.016   ","",""
"FCZ_ERN_080_d1_z"," 0.350** "," 0.225*  ","-0.113   ","-0.042   "," 0.107   ","-0.009   ","-0.009   "," 0.378***"," 0.213   "," 0.161   "," 0.198   "," 0.033   ",""
