"","B11_avtz_v_d2_z ","B11_avtz_a_d2_z ","B11_avtz_t_d2_z ","B11_avtz_z_d2_z ","flanker_score_d2_z ","accuracy_d2_z ","accuracy_congruent_log_d2_z ","accuracy_incongruent_d2_z ","rt_interference_d2_z ","FCZ_ERN_080_d2_z "
"B11_avtz_v_d2_z","","","","","","","","","",""
"B11_avtz_a_d2_z","-0.072   ","","","","","","","","",""
"B11_avtz_t_d2_z"," 0.356** "," 0.200   ","","","","","","","",""
"B11_avtz_z_d2_z","-0.095   ","-0.362** "," 0.360** ","","","","","","",""
"flanker_score_d2_z"," 0.574***"," 0.023   "," 0.174   ","-0.078   ","","","","","",""
"accuracy_d2_z"," 0.626***"," 0.585***"," 0.522***","-0.118   "," 0.609***","","","","",""
"accuracy_congruent_log_d2_z"," 0.533***"," 0.173   "," 0.341** ","-0.115   "," 0.489***"," 0.600***","","","",""
"accuracy_incongruent_d2_z"," 0.474***"," 0.630***"," 0.466***","-0.082   "," 0.485***"," 0.906***"," 0.216   ","","",""
"rt_interference_d2_z","-0.018   "," 0.385***"," 0.044   ","-0.204   "," 0.011   "," 0.297** "," 0.535***"," 0.093   ","",""
"FCZ_ERN_080_d2_z"," 0.289*  ","-0.235   ","-0.092   "," 0.046   "," 0.211   "," 0.013   "," 0.185   ","-0.098   "," 0.039   ",""
