"","FCZ_ERN_080_d3_z ","flanker_score_d3_z ","accuracy_d3_z ","accuracy_incongruent_d3_z ","accuracy_congruent_log_d3_z ","v_S3_B11_d3_z ","v_congruent_S3_B11_d3_z ","v_incongruent_S3_B11_d3_z ","a_S3_B11_d3_z ","t_S3_B11_d3_z ","z_S3_B11_d3_z "
"FCZ_ERN_080_d3_z","","","","","","","","","","",""
"flanker_score_d3_z"," 0.097   ","","","","","","","","","",""
"accuracy_d3_z"," 0.167   "," 0.653***","","","","","","","","",""
"accuracy_incongruent_d3_z"," 0.092   "," 0.543***"," 0.874***","","","","","","","",""
"accuracy_congruent_log_d3_z"," 0.144   "," 0.485***"," 0.625***"," 0.184   ","","","","","","",""
"v_S3_B11_d3_z"," 0.182   "," 0.537***"," 0.486***"," 0.256*  "," 0.573***","","","","","",""
"v_congruent_S3_B11_d3_z"," 0.180   "," 0.395***"," 0.295*  ","-0.029   "," 0.634***"," 0.940***","","","","",""
"v_incongruent_S3_B11_d3_z"," 0.125   "," 0.620***"," 0.674***"," 0.693***"," 0.270*  "," 0.779***"," 0.518***","","","",""
"a_S3_B11_d3_z","-0.013   "," 0.141   "," 0.551***"," 0.574***"," 0.198   ","-0.122   ","-0.228   "," 0.113   ","","",""
"t_S3_B11_d3_z"," 0.046   "," 0.148   "," 0.493***"," 0.326** "," 0.456***"," 0.099   "," 0.111   "," 0.044   "," 0.111   ","",""
"z_S3_B11_d3_z","-0.131   ","-0.293*  ","-0.158   ","-0.101   ","-0.183   ","-0.397***","-0.337** ","-0.376** ","-0.391***"," 0.385** ",""
